symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
Ctsf,385.1,417.2,629.1,532.6
Ctsg,2.2,0.0,101.1,98.9
Ctsh,11345.3,11019.5,5143.5,5629.9
Ctsj,0.0,0.0,0.0,2.8
Ctsk,10338.4,10565.2,411.3,179.8
Ctsl,40575.8,40547.1,19841.4,19988.5
Ctsll3,0.0,0.0,0.0,0.0
Ctsm,0.0,0.0,0.9,0.0
Ctso,1842.8,1699.2,2149.6,2045.9
Ctsq,0.0,0.0,0.0,0.0
Ctsr,0.0,0.0,0.0,0.0
Ctss,207728.7,213517.4,55692.9,56563.4
Ctsw,15.1,22.4,26.1,29.5
Ctsz,57062.4,56589.0,17193.4,21778.6
Cttn,334.6,369.0,1058.7,417.6
Cttnbp2,0.0,1.1,1.7,5.7
Cttnbp2nl,1098.4,1132.8,2864.1,2936.2
Ctu1,328.1,324.1,340.7,376.7
Ctu2,756.3,780.6,680.5,738.1
Ctxn1,5.4,2.3,27.9,10.5
Ctxn2,0.0,0.0,0.0,0.0
Ctxn3,0.0,0.0,0.0,2.8
Cubn,14.0,13.5,29.6,39.9
Cuedc1,2.2,13.5,75.8,39.9
Cuedc2,1866.5,1675.6,1867.3,1768.2
Cul1,3103.7,3125.8,3425.2,2918.1
Cul2,678.8,777.3,779.8,569.7
Cul3,2007.4,2103.0,2366.6,2166.7
Cul4a,2995.0,2808.4,2251.5,2043.1
Cul4b,2163.4,2228.6,2289.0,1968.9
Cul5,1526.6,1569.1,1945.7,1737.8
Cul7,413.1,438.5,851.3,955.9
Cul9,1015.6,1011.7,1178.9,1548.5
Cuta,1089.8,1092.4,778.1,870.3
Cutc,194.7,221.0,244.0,272.0
Cux1,3212.3,3157.2,4396.8,4256.4
Cux2,2.2,3.4,1.7,12.4
Cuzd1,0.0,0.0,0.0,2.8
Cwc15,2139.8,2257.7,2243.7,1874.7
Cwc22,561.6,540.6,662.2,591.6
Cwc25,996.2,997.1,933.2,849.4
Cwc27,468.0,455.4,487.9,512.7
Cwf19l1,413.1,395.9,419.1,406.1
Cwf19l2,393.7,415.0,496.7,400.4
Cwh43,0.0,1.1,0.0,1.9
Cx3cl1,61.3,56.1,148.1,78.9
Cx3cr1,37.7,52.7,5060.8,6300.5
Cxadr,24.7,9.0,21.8,8.6
Cxcl1,11.8,15.7,44.4,43.7
Cxcl10,15.1,10.1,276.2,361.4
Cxcl11,0.0,0.0,0.0,3.8
Cxcl12,3.2,5.6,2829.2,922.6
Cxcl13,0.0,0.0,0.0,0.0
Cxcl14,582.0,648.3,1136.2,1163.3
Cxcl15,0.0,0.0,2.6,0.0
Cxcl16,9231.4,9236.2,13186.9,14491.8
Cxcl17,0.0,0.0,2.6,0.9
Cxcl2,102.2,123.4,158.6,161.7
Cxcl3,48.4,33.7,4.3,7.6
Cxcl5,0.0,4.5,14.8,12.4
Cxcl9,3.2,0.0,0.0,17.1
Cxcr1,99.0,103.2,3.5,3.8
Cxcr2,31.2,25.8,160.3,159.8
Cxcr3,2.2,4.5,108.0,93.2
Cxcr4,7160.5,7109.7,7267.0,8808.7
Cxcr5,5.4,0.0,15.7,20.0
Cxcr6,85.0,56.1,81.9,95.1
Cxcr7,4.3,2.3,53.1,6.7
Cxx1a,389.4,363.4,582.0,530.7
Cxx1b,413.1,392.6,604.7,606.8
Cxx1c,89.3,98.7,182.1,117.0
Cxxc1,578.8,569.8,539.4,651.5
Cxxc4,0.0,0.0,1.7,7.6
Cxxc5,46.3,43.8,70.6,74.2
Cyb5,4352.7,4080.3,2766.5,2931.5
Cyb561,610.0,609.0,1.7,10.5
Cyb561d1,548.7,595.6,499.3,567.8
Cyb561d2,489.5,478.9,434.8,450.8
Cyb5b,6612.9,6225.9,3562.9,3062.7
Cyb5d1,186.1,158.2,115.9,115.1
